OTUs,DISEASE_1,DISEASE_2,DISEASE_3,DISEASE_4,HEALTHY_1,HEALTHY_2,HEALTHY_3,HEALTHY_4,BLANK_1,BLANK_2,BLANK_3,BLANK_4
OTU256,0,0,0,0,44,0,0,0,0,0,0,0
OTU2570,0,0,0,0,0,0,0,0,0,0,0,88
OTU2576,0,0,0,0,0,26,0,0,0,0,0,0
OTU259,77,0,6,0,0,36,11,44,0,0,0,97
OTU260,38,0,0,0,0,0,0,0,0,0,0,0
OTU2616,0,29,0,64,0,199,0,0,0,0,4,0
OTU262,65,0,0,0,0,0,0,0,0,0,0,0
OTU2620,0,0,0,0,0,0,0,82,0,0,0,0
OTU2621,7,0,0,0,0,0,0,0,18,0,0,9
OTU2625,0,0,0,5,0,1,3,0,6,4,8,0
OTU2626,0,0,0,0,0,0,0,108,0,0,0,0
OTU263,0,0,0,0,0,0,0,0,0,0,0,158
OTU2654,0,0,0,0,0,0,0,71,0,0,0,0
OTU266,115,0,0,0,0,0,0,0,0,0,0,0
OTU2671,0,37,0,0,0,0,0,0,0,0,0,0
OTU2672,0,0,0,0,0,0,32,0,0,0,0,0
OTU2674,0,0,0,32,0,0,0,0,0,0,0,0
OTU2677,0,0,0,0,0,50,0,0,0,0,0,0
OTU271,65,0,0,0,0,0,0,0,0,0,0,0
OTU273,0,0,0,0,0,0,0,0,0,0,0,95
OTU274,158,0,0,0,0,0,0,0,0,0,0,0
OTU2743,0,0,0,0,0,0,0,0,0,0,0,65
OTU2775,0,0,0,0,0,42,0,0,0,0,0,0
OTU2779,0,0,0,29,0,32,0,0,0,0,0,0
OTU2782,0,0,0,0,0,39,0,0,0,0,0,0
OTU281,0,0,0,0,0,0,0,41,0,0,0,0
OTU2817,0,0,0,0,0,0,0,0,58,0,0,0
OTU2823,0,0,0,0,0,39,0,0,0,0,0,0
OTU283,0,0,0,0,0,24,0,0,0,0,0,0
OTU2872,0,0,0,0,0,55,0,0,0,0,0,0
OTU2878,0,0,0,0,0,0,0,0,0,0,0,44
OTU288,47,0,0,28,0,0,0,0,0,0,0,0
OTU2880,70,0,0,0,0,0,0,0,0,0,0,0
OTU289,0,0,0,0,0,0,0,0,0,0,0,195
OTU2891,24,0,0,0,4,0,0,0,0,0,0,0
OTU2892,0,0,0,30,0,91,0,0,0,0,0,0
OTU2899,0,0,0,47,0,96,0,0,0,0,0,0
OTU290,0,0,0,0,26,0,0,0,0,0,0,13
OTU2920,0,0,0,0,0,0,0,117,0,0,0,0
